,url,title,company,description,requirement
0,https://careerbuilder.vn/vi/tim-viec-lam/data-analyst.35B092BC.html,Data Analyst,Công ty Cổ phần Dịch vụ Giao Hàng Nhanh," 
MỤC ĐÍCH CÔNG VIỆC


		Vị trí công việc này sẽ đóng góp gì vào Mục Tiêu & Chiến lược chung của tổ chức và phòng ban? Điều gì đo lường mức độ thành công của vị trí công việc này tại tổ chức?

		Business Intelligence là là một đội ngũ chuyên môn, tập trung, và đa chức năng cộng tác với các đội product/vận hành/BD, Marketing để đưa ra các quyết định quan trọng ở Ahamove. Team thường xuyên dẫn đầu các dự án đầy tham vọng, tương tác với đội ngũ điều hành, và phát triển các khuôn khổ chiến lược quan trọng cho tất cả các lĩnh vực kinh doanh.

		Bạn sẽ được làm việc chặt chẽ với các team chủ chốt để tối ưu hóa trải nghiệm khách hàng của chúng tôi. Bạn sẽ chịu trách nhiệm phân tích và góp phần thiết kế sản phẩm mới giúp tăng trưởng kinh doanh.


NHỮNG TRÁCH NHIỆM CÔNG VIỆC CHÍNH 


		Nêu chi tiết danh sách những nhiệm vụ cần phải thực hiện của vị trí (Mảng công việc chủ đạo, các nhiệm vụ chính) để hỗ trợ cho mục đích của công việc. Với mỗi Công việc chủ đạo, cần nêu chi tiết các kết quả mong đợi của công việc đó


NHIỆM VỤ CHÍNH 
Innovation & Application:


		Phân tích và góp phần thiết kế sản phẩm mới giúp tăng trưởng kinh doanh:

		Nghiên cứu sâu vào dữ liệu sẵn có để hiểu hành vi của merchant và người dùng từ đó đưa ra các gợi ý về tính năng mới nhằm tối ưu hoạt động về mặt Product / Vận hành.

		Dùng các công cụ SPSS, R, Python để có thể lập các mô hình dự đoán nhu cầu (AhaMove / nhà hàng về nhu cầu tăng cao), order demand theo giờ…


Performance: Phát triển analytical frameworks, roadmaps và metrics cho team và công ty:


		Xây dựng và tự động hóa các mô hình và lập báo cáo cho các quy trình vận hành (sử dụng Integromat, Metabase, Holistics) và Python.

"," 
KIẾN THỨC:


		Các bạn đã ra trường hoặc sinh viên đang theo đuổi bằng thạc sỹ về các lĩnh vực kinh tế, toán học, thống kê hoặc lĩnh vực định lượng khác

		Excel và SQL hoặc tương đương



		Python hoặc R 


THÁI ĐỘ


		Hoạt bát, siêng năng, kiên trì và cầu tiến.

		Chi tiết, sắc sảo, và chịu được áp lực cao

		Sáng tạo, linh hoạt trong cách giải quyết vấn đề


KỸ NĂNG


		Kĩ năng làm việc với khối lượng data lớn

		Kĩ năng thuyết phục (truyền đạt ý tưởng phức tạp một cách dễ hiểu).

		Kĩ năng phân tích.

		Kĩ năng làm việc nhóm.


KINH NGHIỆM LÀM VIỆC


		Trên 3 năm kinh nghiệm phân tích dữ liệu hoặc tương tự

"
1,https://careerbuilder.vn/vi/tim-viec-lam/data-analyst.35B08A64.html,Data Analyst,First Alliances," other work as advertising agency＝７：３- Be able to program both quantitative and qualitative online surveys.- Be able to produce accurate and logical data collection scripts- Be able to collaborate with internal and external stakeholders to manage data logistics - including data transfers, understanding data structures, business rules, etc. - to enable project execution- Be able to develop survey reports and provide key observations and findings ", ■Requirement：• Date analyst experience over 3 years• English-business• under 39 years old■Prefer to have：• management experience• Strong analytical thinking skills •  Have insight about digital market trend and digital marketing landscape in Vietnam. 
2,https://careerbuilder.vn/vi/tim-viec-lam/data-analyst.35B1403F.html,Data Analyst,CÔNG TY CỔ PHẦN MAISON RETAIL MANAGEMENT INTERNATIONAL, 1. Data Manage - Checking and Collect Raw Data- Update Merchandise/Operation/MKT reports- Data Transfer- Taras2. Assist Merchandise Movements:- Replenishments- Market Research- Products feedback- VM display3. Another Admin job that required by Merchandise Manager/Leader ," - Diploma/Degree in related fields (check local context – what is the min. edu level expected)- Excellent computing skills, proficient in Excel, strong analytical skills- Able to communicate and write proficiently in native language and English- Minimum 1 year working experience in inventory management, preferably in Retail industry- Excellent interpersonal, planning and organization skills to multi-task in a fast paced environment- Pro-active team worker, independent and meticulous- Passion for the fashion industry. "
3,https://careerbuilder.vn/vi/tim-viec-lam/data-analyst.35B0F9C9.html,Data Analyst,Công ty Cổ phần Dịch vụ Giao Hàng Nhanh," Work alongside technical team and operations team to develop platform MVP;Setup and implement key metrics to monitor and improve operations performance;Analyze operations data; prepare operations metrics report;Observe how operations team work in practice and prepare written process documentation, SOP, KPI;Create SOP, “warehouse blueprint” and “forwarder blueprint” to standardize all aspects of setup & operations (process, equipment, management approach, etc.) to ensure consistent level of performance across all facilities after setup phase; "," Data-driven, familiar with Excel, SQL; Excellent analytical thinking;Used to work in BA/ OE positions;Detail oriented and good time management;Courage to challenge the status quo when logic and reason require it;Demonstrated good leadership & communications skills; "
4,https://careerbuilder.vn/vi/tim-viec-lam/business-intelligence-data-analyst.35B12B4B.html,Business Intelligence Data Analyst,NINJA VAN," As an Business Intelligence Data Analyst Executive, you would be empowering the organization to make data-driven decisions. If you have a passion for working with data, generating actionable insights and communicating with people, this would be a role for you.Develop and automate dashboards, analyses and reports to support business functions.Collaborate with stakeholders in Operations and Sales to make data-driven decisions.Create pipelines and queries in the data warehouse. Maintain the integrity of the data as the ""single source of truth"".Assess KPIs, perform root cause analyses, create recommendations for corrective action and work with business verticals to implement them. Be responsible for the accuracy of the calculations of these KPIs.Identify opportunities for improving operational efficiency and sales growth.Be the subject matter expert - the ""go-to person"" for all things data.And:1. Analytics (50%) Insights: modeling & produce actionable dataDescriptive stats: Measure operational efficiency & cost metrics and track SLAs adherence2. Process & Systems (30%): Improve workflowSuggest and recommend changes in existing system and operating processes to improve productivity and stability of the service infrastructureReduce manual workPrepare for scaling3. Informational (20%)Insights: modeling & produce actionable dataDescriptive stats: Measure operational efficiency & cost metrics and track SLAs adherenceSuggest and recommend changes in existing system and operating processes to improve productivity and stability of the service infrastructureReduce manual workPrepare for scalingSource of information for other teams. Answering questions like “Is there a fast way to get data about xx?”Query maintenanceIT support "," Requirements:Passion for data Proficiency with SQL, experience with Python, R (or other tools for statistical analysis) and data visualisation tools a plusBachelor degree, majoring in Information Technology, Applied Science, or EngineeringWorking experience ~2 years as Business Intelligence or Business Analyst is preferable.Analytical Skills: Data analysts work with large amounts of numerical data: facts, figures, and number crunching. You will need to see through the data and analyze it to find conclusions.Critical Thinking: Data analysts must look at the numbers, trends, and data and come to new conclusions based on the findings.Attention to Detail: Data is precise. Data analysts have to make sure they are vigilant in their analysis to come to correct conclusions.Continuous improvement mindsetWorking in Binh Tan District, Ho Chi Minh office. "
5,https://careerbuilder.vn/vi/tim-viec-lam/data-analyst-assistant.35B10A8B.html,Data Analyst Assistant,Epinion Vietnam Company Limited," We are looking for a Data Analyst Assistant to join Data Processing and Reporting Service. You will be involved in project using your skill and knowledge of research process, statistics, reporting and understanding of client needs. Your ultimate goal is to deliver perfect quality product with demonstrated excellent service mindset to client.KEY RESPONSIBILITIES:- Process and analyze data using various data processing and analysis tool such as Excel, SPSS, etc.- Use data visualization and reporting tools to present information- Proactively identify and solve project related problems to ensure accurate and timely delivery- Support senior member in day-to-day project "," QUALIFICATIONS:- Senior student with background in Maths, Statistics or Information Technology - Good at MS Office (Excel, Powerpoint)- Familiar with one Programming language, (such as: VB, VBA, Python, etc.) is a plus but not required- Familiar with one Statistician software package, (such as: SPSS, R, Clementine) is a plus but not required- Good at English (writing and reading)- Careful & detail oriented- Love to work with data/ number "
6,https://careerbuilder.vn/vi/tim-viec-lam/data-analyst-manager.35B08C1F.html,Data Analyst Manager,"RGF HR Agent Vietnam Co., LTD"," Programming both quantitative and qualitative online surveys.Producing accurate and logical data collection scriptsCollaborating with internal and external stakeholders to manage data logistics (including data transfers, understanding data structures, business rules, etc.) to enable project execution.Developing survey reports and provide key observations and findings.Reporting to Japanese Business Develop Department Manager.Managing staffs in the near future because this position is newly-established.- Working time: 9:00-18:00(Monday - Friday)- Monthly Salary: 1,300–1,800USD "," - Essential Requirements:2+ years of experience in the data analyst industry.Working experience at Market Research Company OR Working experience to cooperate with Market Research Company.English: Business levelExcellent communication and report making skills. Strong leadership and coaching skills.Strong analytical thinking skills.Having insight about digital market trend and digital marketing landscape in Vietnam.- Preferable Requirements:Having the knowledge of digital advertisement.Experience with management position.Has knowledge of ""Google Analytics"". "
7,https://careerbuilder.vn/vi/tim-viec-lam/data-analyst-big-data-team.35B12B68.html,Data Analyst - Big Data Team,Công ty Cổ Phần Viễn Thông FPT," Overview:A Data Analyst is part of the team who develops and refines data-driven models that power ID Analytics’ products and services; improves data technology infrastructure, and communicates ongoing research and analysis to stakeholders. The successful candidate will turn data into information, information into insight and insight into business decisions. This position will join many different business projects that are related to Telecom, Media & Entertainment in FPT Telecom.About the Team:Our team is strongly collaborative, where team members’ ideas are carefully listened and taken into account. Team members’ voice are highly respected and we are willing to challenge each other’s analysis that critically help deliver the best quality reports, data products and services.KEY RESPONSIBILITIESProcess, clean, and verify the integrity of data used for analysis and modelingPerform proactive and reactive analyses to ensure data integrityWork with management to prioritize business and information needsPerform descriptive and inferential statistical analysis to extract insights from dataCommunicate insights and suggest improvements based on data and observed trends to business/management in order to improve customer experience and operational efficiencyValidate output figures generated to ensure accuracy and reliability of analysesDefine metrics/ KPI and design dashboard to track the performance of operational activities; ensure timely and accurate maintenance of internal dashboards.SALARY & BENEFITSOffer around $700 - $2000 & 15-17 months' wage/yearYou’ll love working in our dynamic environment with >14.000 young & active employees,Honor & Award for the best employees who have great contribution to the company’s success, especially the awards night for 50 best employees each year will be held overseasUnique culture with many exciting activities: rookie training, 72 hours experience, team building, status quo, village festival …Attractive sports activities: football, badminton, swimming, table tennis, billiards …Being trained by professionals, having many promoting opportunities to become managers in the leading technology groups in Vietnam, with >30,000 people and a professional environment.Obtaining full legal insurance coverage for yourself and your family with FPT-Care "," Bachelor/Master/PhD’s degree in a related field (e.g. economics, data analytics, statistics, mathematics, computer science, business administration)1-3 years of experience in data analysis/ market researchExcellent analytical and organizational skillsProblem-solving orientationDemonstrated ability to apply modern data exploration and visualization techniques to deliver actionable insightsA can-do teammate who is willing to roll-up the sleeves and do whatever is needed to deliver qualit analysis. That means at times you will wear different hats and be a problem digger, data analyzer, auditor,​ report maker, and chief communicator of solutionsProficient with Python, or R, or other programming languagesExperience with key BI tools such as PowerBI or Tableau is an assetKnowledge of regression, decision trees, clustering and other basic modeling techniques is an assetExperience with Unix/Linux system architecture preferred.​​ "
8,https://careerbuilder.vn/vi/tim-viec-lam/senior-business-data-analyst.35B0E20E.html,Senior Business Data Analyst,Viet Thai International," - Define Business Requirements and prepare Business Requirements Specification.
- Develop test scenarios and test cases to ensure that positive and negative test cases are handled correctly by system.
- Manage changes to business processes and do an impact analysis.
- Work closely with end-users and project team members to continuously improve overall applications.
"," - Bachelor Degree- IIBA (or similar) certification will be PLUS
- At least 5 year in delivering IT applications- Operations & retail, fintech industies will be plus- Fluence SQL, PLSQL. Agile software development will be plus. Reporting system, data analytics & BI
- Project management skills, International projects is a plus.- Knowledge of the business processes - Ability of Writting and speaking English
- Problem solving skills- Critical thinking- Clear / efficient written and oral communication
"
9,https://careerbuilder.vn/vi/tim-viec-lam/senior-business-data-analyst.35B0A2DE.html,Senior Business Data Analyst,Viet Thai International," - Define Business Requirements and prepare Business Requirements Specification.
- Develop test scenarios and test cases to ensure that positive and negative test cases are handled correctly by system.
- Manage changes to business processes and do an impact analysis.
- Work closely with end-users and project team members to continuously improve overall applications.
"," - Bachelor Degree- IIBA (or similar) certification will be PLUS
- At least 5 year in delivering IT applications- Operations & retail, fintech industies will be plus- Fluence SQL, PLSQL. Agile software development will be plus. Reporting system, data analytics & BI
- Project management skills, International projects is a plus.- Knowledge of the business processes - Ability of Writting and speaking English
- Problem solving skills- Critical thinking- Clear / efficient written and oral communication
"
